key,value,date
.rb,0.218,1/10/15
.rb,0.201,2/10/15
.rb,0.184,3/10/15
.rb,0.172,4/10/15
.rb,0.166,5/10/15
.rb,0.158,6/10/15
.rb,0.143,7/10/15
.rb,0.724,8/10/15
.rb,0.120,9/10/15
.rb,0.102,10/10/15
.rb,0.082,11/10/15
.rb,0.069,12/10/15
.css,0.000,1/10/15
.css,0.000,2/10/15
.css,0.000,3/10/15
.css,0.000,4/10/15
.css,0.000,5/10/15
.css,0.000,6/10/15
.css,0.000,7/10/15
.css,0.012,8/10/15
.css,0.000,9/10/15
.css,0.000,10/10/15
.css,0.000,11/10/15
.css,0.000,12/10/15
Rakefile,0.001,1/10/15
Rakefile,0.001,2/10/15
Rakefile,0.001,3/10/15
Rakefile,0.001,4/10/15
Rakefile,0.001,5/10/15
Rakefile,0.001,6/10/15
Rakefile,0.000,7/10/15
Rakefile,0.002,8/10/15
Rakefile,0.000,9/10/15
Rakefile,0.000,10/10/15
Rakefile,0.000,11/10/15
Rakefile,0.000,12/10/15
.rake,0.001,1/10/15
.rake,0.001,2/10/15
.rake,0.001,3/10/15
.rake,0.001,4/10/15
.rake,0.001,5/10/15
.rake,0.001,6/10/15
.rake,0.001,7/10/15
.rake,0.002,8/10/15
.rake,0.000,9/10/15
.rake,0.000,10/10/15
.rake,0.000,11/10/15
.rake,0.000,12/10/15
.html,0.000,1/10/15
.html,0.000,2/10/15
.html,0.000,3/10/15
.html,0.000,4/10/15
.html,0.000,5/10/15
.html,0.000,6/10/15
.html,0.000,7/10/15
.html,0.001,8/10/15
.html,0.000,9/10/15
.html,0.000,10/10/15
.html,0.000,11/10/15
.html,0.000,12/10/15
.yml,0.001,1/10/15
.yml,0.001,2/10/15
.yml,0.001,3/10/15
.yml,0.001,4/10/15
.yml,0.000,5/10/15
.yml,0.000,6/10/15
.yml,0.000,7/10/15
.yml,0.007,8/10/15
.yml,0.000,9/10/15
.yml,0.000,10/10/15
.yml,0.000,11/10/15
.yml,0.000,12/10/15
.erb,0.002,1/10/15
.erb,0.002,2/10/15
.erb,0.002,3/10/15
.erb,0.001,4/10/15
.erb,0.001,5/10/15
.erb,0.001,6/10/15
.erb,0.001,7/10/15
.erb,0.005,8/10/15
.erb,0.001,9/10/15
.erb,0.001,10/10/15
.erb,0.001,11/10/15
.erb,0.001,12/10/15
.md,0.041,1/10/15
.md,0.035,2/10/15
.md,0.033,3/10/15
.md,0.031,4/10/15
.md,0.029,5/10/15
.md,0.027,6/10/15
.md,0.025,7/10/15
.md,0.128,8/10/15
.md,0.022,9/10/15
.md,0.018,10/10/15
.md,0.017,11/10/15
.md,0.015,12/10/15
.coffee,0.001,1/10/15
.coffee,0.001,2/10/15
.coffee,0.001,3/10/15
.coffee,0.001,4/10/15
.coffee,0.001,5/10/15
.coffee,0.001,6/10/15
.coffee,0.001,7/10/15
.coffee,0.002,8/10/15
.coffee,0.001,9/10/15
.coffee,0.001,10/10/15
.coffee,0.001,11/10/15
.coffee,0.001,12/10/15
